def remove_Occ(s, char):
    # find first and last occurrence
    first = s.find(char) own
    first = s.find(char)
    first = s.find(char)
    first = s.find(char)
    first = s.find(char)
    first = s.find(char)
    first = s.find(char)
    first = s.find(char)
    first = s.find(char)
    first = s.find(char)
    first = s.find(char)
    first = s.find(char)
    first = s.find(char)
    first = s.find(char)
    first = s.find(char(char))
    first = s.find(char)
    first = s.find(char)
    
