epoch,grad/last_mlp,grad/lm_head,grad/q_head,grad/total_norm,step,train/accuracy,train/early_halt_rate,train/exact_accuracy,train/lm_loss,train/lr,train/q_halt_accuracy,train/q_halt_loss,train/steps,val/accuracy,val/exact_accuracy,val/lm_loss,val/loss,val/q_halt_accuracy,val/q_halt_loss,val/steps
49,0.1597076952457428,0.15061134099960327,0.006278919987380505,0.3776559829711914,49,,,,,2.4500000108673703e-06,,,,,,,,,,
99,0.15280494093894958,0.1438811719417572,0.005865198560059071,0.36653709411621094,99,,,,,4.949999947712058e-06,,,,,,,,,,
99,,,,,99,,,,,,,,,0.08227238059043884,0.0,2.663132905960083,2.666490316390991,1.0,0.006715297698974609,16.0
149,0.14420486986637115,0.14076822996139526,0.006758860778063536,0.35686278343200684,149,,,,,7.449999884556746e-06,,,,,,,,,,
199,0.13323119282722473,0.14229989051818848,0.008392001502215862,0.34786972403526306,199,,,,,9.950000276148785e-06,,,,,,,,,,
199,,,,,199,,,,,,,,,0.08444894850254059,0.0,2.649973154067993,2.6533308029174805,1.0,0.006715297698974609,16.0
249,0.11075916141271591,0.13102653622627258,0.013032360002398491,0.32168492674827576,249,,,,,1.2450000212993473e-05,,,,,,,,,,
299,0.07378469407558441,0.09068513661623001,0.019588705152273178,0.24361836910247803,299,,,,,1.495000014983816e-05,,,,,,,,,,
299,,,,,299,,,,,,,,,0.08972157537937164,0.0,2.6193583011627197,2.622715473175049,1.0,0.006714220624417067,16.0
349,0.03853878378868103,0.041393861174583435,0.022863997146487236,0.12213195860385895,349,,,,,1.745000008668285e-05,,,,,,,,,,
399,0.03447863459587097,0.03322639688849449,0.019779574126005173,0.0934676080942154,399,0.21559928357601166,0.0,0.0,2.154747233856585,1.9949999114032835e-05,1.0,0.0027076303958892822,16.0,,,,,,,
399,,,,,399,,,,,,,,,0.10012860596179962,0.0,2.57092022895813,2.574237108230591,1.0,0.006633691024035215,16.0
449,0.04190022870898247,0.03558424860239029,0.015377036295831203,0.12374120205640793,449,,,,,2.2449999960372224e-05,,,,,,,,,,
499,0.05158175528049469,0.0400710292160511,0.011128530837595463,0.16047489643096924,499,,,,,2.4950000806711614e-05,,,,,,,,,,
499,,,,,499,,,,,,,,,0.10935571789741516,0.0,2.5133438110351562,2.5166008472442627,1.0,0.0065142870880663395,16.0
549,0.05054263398051262,0.036105748265981674,0.008725469000637531,0.14176292717456818,549,,,,,2.74499998340616e-05,,,,,,,,,,
599,0.03902677074074745,0.03197239339351654,0.007459153886884451,0.090278260409832,599,,,,,2.995000068040099e-05,,,,,,,,,,
599,,,,,599,,,,,,,,,0.125035360455513,0.0,2.4411916732788086,2.444324016571045,1.0,0.006265026051551104,16.0
649,0.010159983299672604,0.023682501167058945,0.006077317055314779,0.034674372524023056,649,,,,,3.2449999707750976e-05,,,,,,,,,,
699,0.009536750614643097,0.021196190267801285,0.004294947255402803,0.03354440629482269,699,,,,,3.4950000554090366e-05,,,,,,,,,,
699,,,,,699,,,,,,,,,0.14346708357334137,0.0,2.363454580307007,2.366340398788452,1.0,0.005771311931312084,16.0
749,0.020145956426858902,0.031081674620509148,0.00266575301066041,0.061619263142347336,749,,,,,3.7450001400429755e-05,,,,,,,,,,
799,0.015284289605915546,0.021808598190546036,0.0018676862819120288,0.0669827088713646,799,0.44155097007751465,0.0,0.0,1.4831060905118751,3.994999860879034e-05,1.0,0.00031528621912002563,16.0,,,,,,,
799,,,,,799,,,,,,,,,0.16981738805770874,0.0,2.2875401973724365,2.2900230884552,1.0,0.004965582396835089,16.0
849,0.07874378561973572,0.07462167739868164,0.0013531055301427841,0.2199810892343521,849,,,,,4.244999945512973e-05,,,,,,,,,,
899,0.06092969700694084,0.05539565533399582,0.0010062768124043941,0.1791701316833496,899,,,,,4.495000030146912e-05,,,,,,,,,,
899,,,,,899,,,,,,,,,0.20372621715068817,0.0,2.213904857635498,2.2159385681152344,1.0,0.004067384637892246,16.0
949,0.039524197578430176,0.04090297594666481,0.0006467489874921739,0.1317717283964157,949,,,,,4.745000114780851e-05,,,,,,,,,,
999,0.040236882865428925,0.03620867058634758,0.0005363004747778177,0.13514135777950287,999,,,,,4.994999835616909e-05,,,,,,,,,,
999,,,,,999,,,,,,,,,0.24379824101924896,0.0,2.1357600688934326,2.1372358798980713,1.0,0.002951733535155654,16.0
